Brown Stained Glass,mcl_core:glass_brown
Diorite Wall,mcl_walls:diorite_12
Cooked Mutton,mcl_mobitems:cooked_mutton
Diorite Wall,mcl_walls:diorite_13
Preview Banner,mcl_banners:banner_preview_cross_cyan
Diorite Wall,mcl_walls:diorite_14
Preview Banner,mcl_banners:banner_preview_diagonal_right_blue
Diorite Wall,mcl_walls:diorite_15
Preview Banner,mcl_banners:banner_preview_creeper_cyan
Diorite Wall,mcl_walls:diorite_16
Cyan Banner,mcl_banners:banner_item_cyan
Diorite Wall,mcl_walls:diorite_21
Preview Banner,mcl_banners:banner_preview_diagonal_left_blue
Preview Banner,mcl_banners:banner_preview_flow_orange
Preview Banner,mcl_banners:banner_preview_globe_orange
Brick Wall,mcl_walls:brick_0
Preview Banner,mcl_banners:banner_preview_triangle_top_orange
Brick Wall,mcl_walls:brick_1
Preview Banner,mcl_banners:banner_preview_flower_blue
Brick Wall,mcl_walls:brick_2
Preview Banner,mcl_banners:banner_preview_triangle_bottom_orange
Brick Wall,mcl_walls:brick_3
Preview Banner,mcl_banners:banner_preview_stripe_top_orange
Preview Banner,mcl_banners:banner_preview_stripe_right_orange
Preview Banner,mcl_banners:banner_preview_gradient_blue
Preview Banner,mcl_banners:banner_preview_stripe_middle_orange
Preview Banner,mcl_banners:banner_preview_stripe_left_orange
Preview Banner,mcl_banners:banner_preview_stripe_downright_orange
Preview Banner,mcl_banners:banner_preview_stripe_downleft_orange
Preview Banner,mcl_banners:banner_preview_stripe_center_orange
Preview Banner,mcl_banners:banner_preview_gradient_up_blue
Preview Banner,mcl_banners:banner_preview_stripe_bottom_orange
Preview Banner,mcl_banners:banner_preview_straight_cross_orange
Preview Banner,mcl_banners:banner_preview_square_top_right_orange
Preview Banner,mcl_banners:banner_preview_square_top_left_orange
Preview Banner,mcl_banners:banner_preview_square_bottom_left_orange
Preview Banner,mcl_banners:banner_preview_half_horizontal_bottom_blue
Preview Banner,mcl_banners:banner_preview_small_stripes_orange
Preview Banner,mcl_banners:banner_preview_skull_orange
Preview Banner,mcl_banners:banner_preview_rhombus_orange
Preview Banner,mcl_banners:banner_preview_creeper_orange
Preview Banner,mcl_banners:banner_preview_circle_orange
Preview Banner,mcl_banners:banner_preview_half_horizontal_blue
Orange Banner,mcl_banners:banner_item_orange
Preview Banner,mcl_banners:banner_preview_flow_silver
Preview Banner,mcl_banners:banner_preview_guster_silver
Preview Banner,mcl_banners:banner_preview_globe_silver
Preview Banner,mcl_banners:banner_preview_stripe_downleft_silver
Preview Banner,mcl_banners:banner_preview_half_vertical_blue
Preview Banner,mcl_banners:banner_preview_square_bottom_right_silver
Preview Banner,mcl_banners:banner_preview_square_bottom_left_silver
Preview Banner,mcl_banners:banner_preview_small_stripes_silver
Preview Banner,mcl_banners:banner_preview_half_horizontal_silver
Preview Banner,mcl_banners:banner_preview_gradient_silver
Preview Banner,mcl_banners:banner_preview_half_vertical_right_blue
Preview Banner,mcl_banners:banner_preview_diagonal_up_right_silver
Preview Banner,mcl_banners:banner_preview_cross_silver
Preview Banner,mcl_banners:banner_preview_creeper_silver
Light Grey Banner,mcl_banners:banner_item_silver
Preview Banner,mcl_banners:banner_preview_flow_light_blue
Preview Banner,mcl_banners:banner_preview_thing_blue
Preview Banner,mcl_banners:banner_preview_guster_light_blue
Preview Banner,mcl_banners:banner_preview_piglin_light_blue
Preview Banner,mcl_banners:banner_preview_triangle_bottom_light_blue
Preview Banner,mcl_banners:banner_preview_stripe_right_light_blue
Preview Banner,mcl_banners:banner_preview_stripe_middle_light_blue
Preview Banner,mcl_banners:banner_preview_rhombus_blue
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_4
Preview Banner,mcl_banners:banner_preview_stripe_center_light_blue
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_5
Preview Banner,mcl_banners:banner_preview_skull_light_blue
Premature Pumpkin Stem (Stage 1),mcl_farming:pumpkin_1
Preview Banner,mcl_banners:banner_preview_skull_blue
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_7
Preview Banner,mcl_banners:banner_preview_flower_light_blue
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_8
Preview Banner,mcl_banners:banner_preview_cross_light_blue
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_9
Preview Banner,mcl_banners:banner_preview_small_stripes_blue
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_10
Preview Banner,mcl_banners:banner_preview_piglin_brown
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_11
Preview Banner,mcl_banners:banner_preview_triangles_top_brown
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_12
Preview Banner,mcl_banners:banner_preview_square_bottom_left_blue
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_13
Preview Banner,mcl_banners:banner_preview_triangle_bottom_brown
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_14
Preview Banner,mcl_banners:banner_preview_stripe_right_brown
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_15
Preview Banner,mcl_banners:banner_preview_square_bottom_right_blue
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_16
Preview Banner,mcl_banners:banner_preview_stripe_downleft_brown
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_21
Preview Banner,mcl_banners:banner_preview_cross_brown
Preview Banner,mcl_banners:banner_preview_creeper_brown
Preview Banner,mcl_banners:banner_preview_square_top_left_blue
Preview Banner,mcl_banners:banner_preview_guster_blue
Preview Banner,mcl_banners:banner_preview_globe_blue
Preview Banner,mcl_banners:banner_preview_triangles_top_blue
Preview Banner,mcl_banners:banner_preview_triangle_top_blue
nil,mcl_mushrooms:brown_mushroom_block_cap_100001
Preview Banner,mcl_banners:banner_preview_square_top_right_blue
Preview Banner,mcl_banners:banner_preview_triangle_bottom_pink
Preview Banner,mcl_banners:banner_preview_border_white
Preview Banner,mcl_banners:banner_preview_curly_border_white
Firework Rocket,mcl_fireworks:rocket_2
Preview Banner,mcl_banners:banner_preview_square_bottom_left_white
Preview Banner,mcl_banners:banner_preview_straight_cross_blue
Firework Rocket,mcl_fireworks:rocket_1
Preview Banner,mcl_banners:banner_preview_triangle_bottom_white
Deepslate Tile Stairs,mcl_stairs:stair_deepslate_tiles_outer
Deepslate Tile Stairs,mcl_stairs:stair_deepslate_tiles_inner
Preview Banner,mcl_banners:banner_preview_guster_white
Preview Banner,mcl_banners:banner_preview_stripe_bottom_blue
Preview Banner,mcl_banners:banner_preview_stripe_top_white
Zombie,mobs_mc:zombie
Preview Banner,mcl_banners:banner_preview_stripe_left_white
Deepslate Tile Slab,mcl_stairs:slab_deepslate_tiles
Deepslate Tile Slab,mcl_stairs:slab_deepslate_tiles_top
Preview Banner,mcl_banners:banner_preview_stripe_center_blue
Creeper,mobs_mc:creeper
Preview Banner,mcl_banners:banner_preview_skull_white
Preview Banner,mcl_banners:banner_preview_gradient_up_white
Preview Banner,mcl_banners:banner_preview_diagonal_right_white
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_white
Preview Banner,mcl_banners:banner_preview_stripe_downleft_blue
Preview Banner,mcl_banners:banner_preview_cross_white
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_0
Firework Rocket,mcl_fireworks:rocket_3
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_1
Preview Banner,mcl_banners:banner_preview_stripe_downright_blue
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_2
Preview Banner,mcl_banners:banner_preview_flow_pink
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_3
Preview Banner,mcl_banners:banner_preview_globe_pink
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_4
Preview Banner,mcl_banners:banner_preview_stripe_left_blue
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_5
Clock,mcl_clock:clock_54
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_6
Redstone Trail (11110000),mesecons:wire_11110000_off
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_7
Preview Banner,mcl_banners:banner_preview_stripe_middle_blue
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_8
Preview Banner,mcl_banners:banner_preview_border_purple
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_9
Mossy Cobblestone Stairs,mcl_stairs:stair_mossycobble_outer
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_10
Oak Fence,mcl_fences:oak_fence
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_11
nil,mcl_mushrooms:red_mushroom_block_cap_011101
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_12
Red Stained Glass,mcl_core:glass_red
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_13
nil,mesecons_pressureplates:pressure_plate_polished_blackstone_on
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_14
nil,mcl_mushrooms:red_mushroom_block_cap_100100
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_15
nil,mcl_doors:door_jungle_b_2
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_16
Beehive,mcl_beehives:beehive_4
Deepslate Tiles Wall,mcl_deepslate:deepslatetileswall_21
Redstone Trail (10011001),mesecons:wire_10011001_off
Cyan Terracotta,mcl_colorblocks:hardened_clay_cyan
Jungle Stairs,mcl_stairs:stair_jungle
Bone Meal,mcl_bone_meal:bone_meal
Redstone Trail (11011001),mesecons:wire_11011001_off
Leather Tunic,mcl_armor:chestplate_leather
Stone Brick Stairs,mcl_stairs:stair_stonebrick_inner
Diamond Chestplate,mcl_armor:chestplate_diamond
Target,mcl_target:target_on
nil,mcl_mushrooms:red_mushroom_block_cap_111001
Clock,mcl_clock:clock
Jungle Bark Slab,mcl_stairs:slab_jungle_bark
nil,mcl_mushrooms:red_mushroom_block_cap_111010
Orange Stained Glass,mcl_core:glass_orange
Mud Brick Wall,mcl_walls:mudbrick_1
Chiseled Tuff,mcl_deepslate:tuff_chiseled
nil,mcl_mushrooms:brown_mushroom_block_cap_000001
nil,mcl_mushrooms:brown_mushroom_block_cap_000010
Oak Bark Stairs,mcl_stairs:stair_oak_bark_inner
Jungle Boat,mcl_boats:boat_jungle
Chiseled Tuff Bricks,mcl_deepslate:tuff_chiseled_bricks
nil,mcl_mushrooms:brown_mushroom_block_cap_001100
nil,mcl_doors:door_jungle_b_1
Oak Sign,mcl_signs:wall_sign_oak
nil,mesecons_pressureplates:pressure_plate_jungle_on
Polished Tuff,mcl_deepslate:tuff_polished
Tuff Bricks,mcl_deepslate:tuff_bricks
nil,mcl_doors:trapdoor_birch_open
End Stone Brick Wall,mcl_walls:endbricks_9
Mossy Cobblestone,mcl_core:mossycobble
Spruce Sign,mcl_signs:standing_sign_spruce
Yellow Wool,mcl_wool:yellow
Yellow Carpet,mcl_wool:yellow_carpet
Spruce Bark Stairs,mcl_stairs:stair_spruce_bark_inner
Light Blue Wool,mcl_wool:light_blue
Spruce Log,mcl_trees:stripped_spruce
Grey Stained Glass,mcl_core:glass_grey
Jungle Button,mesecons_button:button_jungle_off
Jungle Bark Slab,mcl_stairs:slab_jungle_bark_top
Jungle Slab,mcl_stairs:slab_jungle_double
Birch Wood,mcl_trees:bark_stripped_birch
Frosted Ice,mcl_core:frosted_ice_2
Polished Tuff Slab,mcl_stairs:slab_tuff_polished
Tuff Bricks Slab,mcl_stairs:slab_tuff_bricks
Jungle Fence Gate,mcl_fences:jungle_fence_gate
Jungle Leaves,mcl_trees:leaves_jungle
Sandstone Wall,mcl_walls:sandstone_13
Birch Log,mcl_trees:stripped_birch
Quartz Stairs,mcl_stairs:stair_quartzblock_outer
nil,mcl_doors:trapdoor_acacia_open
Birch Leaves,mcl_trees:leaves_birch
Dark Oak Trapdoor,mcl_doors:trapdoor_dark_oak
Huge Brown Mushroom Stem,mcl_mushrooms:brown_mushroom_block_stem
Horn Coral Block,mcl_ocean:horn_coral_block
nil,mcl_mushrooms:red_mushroom_block_cap_110010
Dark Oak Sign,mcl_signs:wall_sign_dark_oak
Deepslate Diamond Ore,mcl_deepslate:deepslate_with_diamond
nil,mcl_ocean:kelp_gravel
nil,mcl_mushrooms:red_mushroom_block_cap_001100
Flowing Water,mcl_core:water_flowing
Powered Redstone Trail (10111011),mesecons:wire_10111011_on
Glowstone,mcl_nether:glowstone
Acacia Chest Boat,mcl_boats:boat_acacia_chest
Deepslate Lapis Lazuli Ore,mcl_deepslate:deepslate_with_lapis
Nether Brick Block,mcl_nether:nether_brick
Dark Oak Bark Slab,mcl_stairs:slab_dark_oak_bark_double
Dark Oak Bark Slab,mcl_stairs:slab_dark_oak_bark_top
Red Nether Brick Block,mcl_nether:red_nether_brick
Chiseled Nether Brick Block,mcl_nether:chiseled_nether_brick
Red Sandstone,mcl_core:redsandstone
Chiseled Quartz Block,mcl_nether:quartz_chiseled
Acacia Sapling Flower Pot,mcl_flowerpots:flower_pot_sapling_acacia
Block of Emerald,mcl_core:emeraldblock
Block of Gold,mcl_core:goldblock
Glass,mcl_core:glass
Red Nether Brick Stairs,mcl_stairs:stair_red_nether_brick_inner
Violet Shield,mcl_shields:shield_purple
Red Nether Brick Slab,mcl_stairs:slab_red_nether_brick_double
Netherite Scrap,mcl_nether:netherite_scrap
Redstone Trail (01010001),mesecons:wire_01010001_off
Yellow Shield,mcl_shields:shield_yellow
Dark Oak Bark Stairs,mcl_stairs:stair_dark_oak_bark_inner
Mature Nether Wart,mcl_nether:nether_wart
Deepslate Copper Ore,mcl_deepslate:deepslate_with_copper
nil,mcl_shields:shield_pink
Red Nether Brick Slab,mcl_stairs:slab_red_nether_brick_top
Azalea Leaves,mcl_lush_caves:azalea_leaves
Powered Redstone Trail (01000000),mesecons:wire_01000000_on
White Shield,mcl_shields:shield_white
Clock,mcl_clock:clock_49
Clock,mcl_clock:clock_57
Polished Andesite,mcl_core:andesite_smooth
Blue Shield,mcl_shields:shield_blue
Pink Carpet,mcl_wool:pink_carpet
nil,mcl_ocean:seagrass_gravel
Emerald Ore,mcl_core:stone_with_emerald
Brown Shield,mcl_shields:shield_brown
Dead Bubble Coral,mcl_ocean:dead_bubble_coral
Cobbled Deepslate Stairs,mcl_stairs:stair_deepslate_cobbled_outer
Cobbled Deepslate Stairs,mcl_stairs:stair_deepslate_cobbled_inner
Light Blue Shield,mcl_shields:shield_light_blue
Dark Prismarine Stairs,mcl_stairs:stair_prismarine_dark_outer
Acacia Bark Slab,mcl_stairs:slab_acacia_bark_double
Acacia Bark Slab,mcl_stairs:slab_acacia_bark_top
Light Grey Shield,mcl_shields:shield_silver
Cobbled Deepslate Slab,mcl_stairs:slab_deepslate_cobbled_top
Cobbled Deepslate Slab,mcl_stairs:slab_deepslate_cobbled_double
nil,mcl_doors:door_dark_oak_t_1
Orange Shield,mcl_shields:shield_orange
nil,mcl_doors:door_dark_oak_b_1
Pink Terracotta Slab,mcl_stairs:slab_hardened_clay_pink_double
Lantern,mcl_lanterns:lantern_floor
Cyan Shield,mcl_shields:shield_cyan
Redstone Trail (10100010),mesecons:wire_10100010_off
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_0
Red Shield,mcl_shields:shield_red
Deepslate,mcl_deepslate:deepslate
Void,mcl_core:void
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_2
Lime Shield,mcl_shields:shield_lime
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_3
Weathered Copper,mcl_copper:block_weathered
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_4
Magenta Shield,mcl_shields:shield_magenta
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_5
Magenta Concrete Stairs,mcl_stairs:stair_concrete_magenta_outer
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_6
Green Shield,mcl_shields:shield_green
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_7
Andesite Stairs,mcl_stairs:stair_andesite
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_8
Black Shield,mcl_shields:shield_black
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_9
Magenta Concrete Slab,mcl_stairs:slab_concrete_magenta_top
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_10
Grey Shield,mcl_shields:shield_grey
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_11
Redstone Repeater,mesecons_delayer:delayer_off_1
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_12
Dark Oak Log,mcl_trees:tree_dark_oak
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_13
Red Shulker Box,mcl_chests:red_shulker_box
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_14
Clock,mcl_clock:clock_37
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_15
Jungle Stairs,mcl_stairs:stair_jungle_outer
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_16
Oak Sapling,mcl_trees:sapling_oak
Cobbled Deepslate Wall,mcl_deepslate:deepslatecobbledwall_21
Redstone Trail (11111010),mesecons:wire_11111010_off
Magenta Terracotta Stairs,mcl_stairs:stair_hardened_clay_magenta_outer
Magenta Terracotta Stairs,mcl_stairs:stair_hardened_clay_magenta_inner
White Shulker Box,mcl_chests:white_shulker_box
Cobblestone Stairs,mcl_stairs:stair_cobble_outer
Dark Oak Planks,mcl_trees:wood_dark_oak
Bee Nest,mcl_beehives:bee_nest_2
Powered Redstone Trail (10111010),mesecons:wire_10111010_on
Magenta Terracotta Slab,mcl_stairs:slab_hardened_clay_magenta
Magenta Terracotta Slab,mcl_stairs:slab_hardened_clay_magenta_top
Magenta Terracotta Slab,mcl_stairs:slab_hardened_clay_magenta_double
Polished Deepslate Stairs,mcl_stairs:stair_deepslate_polished
Mossy Stone Bricks,mcl_core:stonebrickmossy
Polished Deepslate Stairs,mcl_stairs:stair_deepslate_polished_outer
Oak Sign,mcl_signs:standing_sign_oak
Chorus Plant Stem,mcl_end:chorus_plant
Acacia Sign,mcl_signs:standing_sign_acacia
Diorite,mcl_core:diorite
Jungle Sign,mcl_signs:standing_sign_jungle
Downwards-Facing Dropper,mcl_droppers:dropper_down
Birch Sign,mcl_signs:standing_sign_birch
Polished Deepslate Slab,mcl_stairs:slab_deepslate_polished_top
Dark Oak Sign,mcl_signs:standing_sign_dark_oak
Mossy Stone Brick Slab,mcl_stairs:slab_stonebrickmossy_double
Clock,mcl_clock:clock_1
Respawn Anchor,mcl_beds:respawn_anchor
Clock,mcl_clock:clock_2
Orange Concrete Stairs,mcl_stairs:stair_concrete_orange_inner
Crimson Sign,mcl_signs:standing_sign_crimson,mcl_nether:nether_wart_1
Warped Sign,mcl_signs:standing_sign_warped
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_0
Cherry Sign,mcl_signs:standing_sign_cherry_blossom
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_1
Orange Concrete Slab,mcl_stairs:slab_concrete_orange_top
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_2
Danger Pottery Sherd,mcl_pottery_sherds:danger
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_3
Blade Pottery Sherd,mcl_pottery_sherds:blade
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_4
nil,mesecons_torch:mesecon_torch_overheated_wall
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_5
nil,mesecons_torch:mesecon_torch_off_wall
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_6
Diamond Pickaxe,mcl_tools:pick_diamond
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_7
Diamond Shovel,mcl_tools:shovel_diamond
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_8
River Water Bucket,mcl_buckets:bucket_river_water
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_9
Powered Redstone Trail (11100100),mesecons:wire_11100100_on
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_10
Orange Terracotta Stairs,mcl_stairs:stair_hardened_clay_orange_inner
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_11
Golden Pickaxe,mcl_tools:pick_gold
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_12
River Water Source,mclx_core:river_water_source
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_13
Orange Terracotta Slab,mcl_stairs:slab_hardened_clay_orange
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_14
Orange Terracotta Slab,mcl_stairs:slab_hardened_clay_orange_double
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_15
Lime Shulker Box,mcl_chests:green_shulker_box_small
Polished Deepslate Wall,mcl_deepslate:deepslatepolishedwall_16
Bedrock,mcl_core:bedrock
nil,mcl_panes:pane_brown
Iron Shovel,mcl_tools:shovel_iron
Oak Leaves,mcl_trees:leaves_oak
Iron Sword,mcl_tools:sword_iron
Iron Axe,mcl_tools:axe_iron
Charcoal,mcl_core:charcoal_lump
Beehive,mcl_beehives:beehive_1
Polished Diorite,mcl_core:diorite_smooth
nil,mcl_doors:door_dark_oak_t_2
Blue Concrete Stairs,mcl_stairs:stair_concrete_blue
Prismarine Brick Slab,mcl_stairs:slab_prismarine_brick_top
Blue Concrete Stairs,mcl_stairs:stair_concrete_blue_outer
Blue Concrete Stairs,mcl_stairs:stair_concrete_blue_inner
nil,mcl_observers:observer_down_on
Light Grey Concrete,mcl_colorblocks:concrete_silver
Powered Redstone Trail (11111011),mesecons:wire_11111011_on
Deepslate Brick Stairs,mcl_stairs:stair_deepslate_bricks
Bamboo Slab,mcl_stairs:slab_bamboo
Deepslate Brick Stairs,mcl_stairs:stair_deepslate_bricks_outer
Deepslate Brick Stairs,mcl_stairs:stair_deepslate_bricks_inner
Blue Concrete Slab,mcl_stairs:slab_concrete_blue_double
Jungle Slab,mcl_stairs:slab_jungle_top
Exposed Cut Copper Stairs,mcl_stairs:stair_copper_exposed_cut_outer
Red Mushroom,mcl_mushrooms:mushroom_red
Jungle Fence,mcl_fences:jungle_fence
Deepslate Brick Slab,mcl_stairs:slab_deepslate_bricks
Deepslate Brick Slab,mcl_stairs:slab_deepslate_bricks_top
Deepslate Brick Slab,mcl_stairs:slab_deepslate_bricks_double
Purple Shulker Box,mcl_chests:violet_shulker_box_small
Mud Brick Stair,mcl_stairs:stair_mud_brick_inner
Mud Brick Stair,mcl_stairs:stair_mud_brick_outer
Podzol,mcl_core:podzol
Light Grey Glass Pane,mcl_panes:pane_silver_flat
Mycelium,mcl_core:mycelium
Mycelium with Snow,mcl_core:mycelium_snow
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_0
Blue Terracotta Stairs,mcl_stairs:stair_hardened_clay_blue_inner
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_1
Podzol with Snow,mcl_core:podzol_snow
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_2
Netherite Shovel,mcl_tools:shovel_netherite
Deepslate Brick Wall,mcl_deepslate:deepslatebrickswall_3
Blue Terracotta Slab,mcl_stairs:slab_hardened_clay_blue
Blue Terracotta Slab,mcl_stairs:slab_hardened_clay_blue_top
Blue Terracotta Slab,mcl_stairs:slab_hardened_clay_blue_double
Bamboo Sign,mcl_signs:wall_sign_bamboo
Powder Snow,mcl_powder_snow:powder_snow
Coarse Dirt,mcl_core:coarse_dirt
nil,mcl_panes:pane_silver
Gold Nugget,mcl_core:gold_nugget
Wooden Sword,mcl_tools:sword_wood
Lantern,mcl_lanterns:lantern_ceiling,mesecons_delayer:delayer_on_1
Redstone Repeater (Delay 4),mesecons_delayer:delayer_off_4
Soul Lantern,mcl_lanterns:soul_lantern_floor
Lit Redstone Ore,mcl_core:stone_with_redstone_lit
Light Blue Glass Pane,mcl_panes:pane_light_blue_flat
Bamboo Pressure Plate,mesecons_pressureplates:pressure_plate_bamboo_off
Unknown Potion,mcl_potions:slowness_2_lingering
nil,mesecons_pressureplates:pressure_plate_bamboo_on
Unknown Tipped Arrow,mcl_potions:slowness_2_arrow
Iron Pickaxe,mcl_tools:pick_iron
Unknown Potion,mcl_potions:leaping_2
Shears,mcl_tools:shears
Unknown Potion,mcl_potions:leaping_2_splash
Polished Diorite Stairs,mcl_stairs:stair_diorite_smooth_outer
Unknown Potion,mcl_potions:leaping_2_lingering
Mushroom Stew,mcl_mushrooms:mushroom_stew
Unknown Tipped Arrow,mcl_potions:leaping_2_arrow
Green Concrete Slab,mcl_stairs:slab_concrete_green_double
Unknown Potion,mcl_potions:withering_2
Bowl,mcl_core:bowl
Unknown Potion,mcl_potions:withering_2_splash
nil,mcl_panes:pane_light_blue
Unknown Potion,mcl_potions:withering_2_lingering
Coal,mcl_core:coal_lump
Unknown Tipped Arrow,mcl_potions:withering_2_arrow
Polished Granite Slab,mcl_stairs:slab_granite_smooth_top
Unknown Potion,mcl_potions:poison_2
nil,mcl_mushrooms:brown_mushroom_block_cap_010110
Unknown Potion,mcl_potions:poison_2_splash
Lime Glass Pane,mcl_panes:pane_lime_flat
Unknown Potion,mcl_potions:poison_2_lingering
Brick Wall,mcl_walls:brick_4
Mangrove Fence Gate,mcl_fences:mangrove_fence_gate
Brick Wall,mcl_walls:brick_5
Unknown Potion,mcl_potions:regeneration_2
Brick Wall,mcl_walls:brick_6
Unknown Potion,mcl_potions:regeneration_2_splash
Brick Wall,mcl_walls:brick_7
Mangrove Door,mcl_doors:door_mangrove
Brick Wall,mcl_walls:brick_8
Unknown Tipped Arrow,mcl_potions:regeneration_2_arrow
Brick Wall,mcl_walls:brick_9
Unknown Potion,mcl_potions:fire_resistance_plus
Brick Wall,mcl_walls:brick_10
Heavy Core,mcl_tools:heavy_core
Brick Wall,mcl_walls:brick_11
nil,mcl_panes:pane_lime
Brick Wall,mcl_walls:brick_12
Brown Mushroom Flower Pot,mcl_flowerpots:flower_pot_mushroom_brown
Brick Wall,mcl_walls:brick_13
Mace,mcl_tools:mace
Brick Wall,mcl_walls:brick_14
Unknown Potion,mcl_potions:water_breathing_plus_splash
Brick Wall,mcl_walls:brick_15
Purple Glass Pane,mcl_panes:pane_purple_flat
Brick Wall,mcl_walls:brick_16
of Decay,mcl_potions:withering_arrow
Brick Wall,mcl_walls:brick_21
nil,mcl_doors:door_mangrove_b_2
Red Concrete Stairs,mcl_stairs:stair_concrete_red_inner
Unknown Potion,mcl_potions:invisibility_plus_splash
nil,mcl_doors:door_mangrove_t_2
Sandstone Wall,mcl_walls:sandstone_0
Mangrove Trapdoor,mcl_doors:trapdoor_mangrove
Sandstone Wall,mcl_walls:sandstone_1
Red Concrete Slab,mcl_stairs:slab_concrete_red
Sandstone Wall,mcl_walls:sandstone_2
Red Concrete Slab,mcl_stairs:slab_concrete_red_double
Sandstone Wall,mcl_walls:sandstone_3
nil,mcl_mushrooms:red_mushroom_block_cap_010111
Sandstone Wall,mcl_walls:sandstone_4
Raw Copper,mcl_copper:raw_copper
Sandstone Wall,mcl_walls:sandstone_5
nil,mcl_mushrooms:red_mushroom_block_cap_010100
Sandstone Wall,mcl_walls:sandstone_6
nil,mcl_doors:trapdoor_mangrove_open
Sandstone Wall,mcl_walls:sandstone_7
Polished Andesite Slab,mcl_stairs:slab_andesite_smooth
Sandstone Wall,mcl_walls:sandstone_8
Cyan Glass Pane,mcl_panes:pane_cyan_flat
Sandstone Wall,mcl_walls:sandstone_9
Mangrove Stairs,mcl_stairs:stair_mangrove
Sandstone Wall,mcl_walls:sandstone_10
Mangrove Stairs,mcl_stairs:stair_mangrove_outer
